id,name,q
ein001161,"Die Aderläß",Q118347463
ein001178,"Die Männerfeindin",Q124657244
ein001187,"Die verkehrte Welt",Q138327545
ein001192,"Die Braut",Q104585885
ein001199,"Der Zauberstein",Q111592520
ein001209,"Blind geladen",Q884182
ein001211,"Das Köstlichste",Q124435188
ein001214,"Das Lustspiel am Fenster",Q125950756
ein001215,"Das neue Jahrhundert",Q110137623
ein001216,"Das Posthaus in Treuenbrietzen",Q110889067
ein001217,"Das Strandrecht",Q125950846
ein001219,"Das unsichtbare Mädchen",Q121433916
ein001222,"Das zugemauerte Fenster",Q110889053
ein001223,"Der alte Leibkutscher Peter des Dritten",Q95469560
ein001225,"Der arme Poet",Q112775643
ein001226,"Der Deserteur",Q127260598
ein001229,"Der Freimaurer",Q89212706
ein001235,"Der Hahnenschlag",Q110889083
ein001236,"Der Harem",Q134405823
ein001237,"Der hyperboreeische Esel oder Die heutige Bildung",Q56448380
ein001239,"Der kleine Declamator",Q110888926
ein001246,"Die Selbstmörder",Q110890328
ein001252,"Der Verschwiegene wider Willen, oder die Fahrt von Berlin nach Potsdam",Q112164010
ein001253,"Der weibliche Jacobiner-Clubb",Q111939198
ein001254,"Des Esels Schatten oder der Proceß in Krähwinkel",Q110891724
ein001255,"Die Abendstunde",Q95468391
ein001256,"Die alten Liebschaften",Q124079923
ein001260,"Die Brandschatzung",Q110888940
ein001261,"Die edle Lüge",Q119154689
ein001271,"Die Quäker",Q110891545
ein001274,"Die Rückkehr der Freywilligen oder das patriotische Gelübde",Q110854455
ein001281,"Die Uniform des Feldmarschalls Wellington",Q110889095
ein001282,"Die väterliche Erwartung",Q61401691
ein001291,"Mädchenfreundschaft oder der türkische Gesandte",Q88636794
ein001295,"Wer weiß wozu das gut ist",Q123371304
ein001307,"Der Kammerdiener",Q118347481
ein001308,"Philipp",Q118347504
ein001309,"Wer trägt die Schuld?",Q121418627
ein001312,"Der Teufel ein Bärenhäuter",Q137757916
ein001342,"Der Lügner und sein Sohn",Q127018802
ein001362,"Die seltsame Entführung",Q127018408
ein001381,"Shakspeare als Liebhaber",Q127018121
ein001404,"Die Diamanten",Q123175556
ein001441,"Professor Hackler, oder Er nimmt alles übel",Q134033000
ein001447,"Damon, oder die wahre Freundschaft",Q1158714
ein001448,"Der Misogyne",Q56255302
ein001449,"Der Schatz",Q56255327
ein001450,"Die Juden",Q1213679
ein002516,"Fatime",Q121499527
ein001453,"Philotas",Q6074342
ein001463,"Die Lissabonner",Q123238778
ein001464,"Ein kurzweiliger Hochzeitsvertrag",Q1199306
ein001474,"Das Räthsel, oder Was dem Frauenzimmer am meisten gefällt",Q138329205
ein001490,"Die Jungfern Köchinnen",Q54366286
ein001501,"Die Ueberschwemmung",Q136367497
ein002713,"Hydropathie auf der Eisenbahn",Q135404534
ein001584,"Die Tugend auf der Schaubühne oder Harlekins Heirath",Q84606039
ein001588,"Blunt oder der Gast",Q105729385
ein002411,"Der junge Werther, oder: Die Macht der Liebe",Q112815242
ein001608,"Der neun und zwanzigste Februar",Q98544670
ein002771,"Die Martinsgans",Q136717979
ein001624,"Der Zettelträger Papp",Q15805236
ein001625,"Judith und Holofernes",Q1711097
ein000059,"Apolls Gericht, oder das bestrafte Vorurtheil Vindebonens",Q120401569
ein001663,"Yariko",Q133270117
ein001670,"Der Einsiedler",Q133270066
ein001671,"Der Schatz",Q138329683
ein001679,"Serena",Q125134130
ein001687,"Berengar",Q93269748
ein001697,"Herzmutterchen!",Q118906207
ein001700,"Das leidende Mädchen",Q133270260
ein002389,"Die Kuhpocken",Q112727935
ein001714,"Der Bettler",Q124128087
ein001724,"Der erste May oder der reiche Poet",Q105605657
ein001739,"Alte Liebe rostet nicht",Q121591798
ein001740,"Das Probejahr",Q121607924
ein001741,"Der gutgemeinte Irrthum",Q121608019
ein001742,"Der Pelzrock. Nach einem Gedicht von St. Schütze",Q121608087
ein001743,"Der St. Hubertus-Brunnen",Q121608157
ein001744,"Die Braut des Echo's",Q121600439
ein001749,"Der Eliastag",Q100145770
ein001823,"Die Hoftrauer, oder das Testament",Q112687919
ein001858,"Glück durch Unglück",Q112929485
ein001878,"Die entführte Dose",Q124217835
ein001880,"Die stumme Schönheit",Q55998571
ein001896,"Die Maskerade",Q121354014
ein001900,"Der Blumenkranz",Q123510836
ein001901,"Die Erdbeeren",Q123510864
ein001903,"Der kleine Kaminfeger",Q123510806
ein001940,"Der Hohlweg",Q118871504
ein001959,"Die Katze läßt das Mausen nicht",Q112686910
ein002797,"Der Dichterling",Q138656739
ein001977,"Die Wände",Q51459425
ein001978,"Gabriele Montalto",Q133270197
ein001988,"Unser Verkehr",Q99601642
ein001993,"Die Schatzgräber",Q113016336
ein002001,"Die Dorfschule",Q105525766
ein002015,"Dir wie mir",Q123954090
ein002019,"Darius",Q95569070
ein002052,"Der Schauspieldirektor",Q471810
ein002065,"Fanny, oder Die glückliche Wiedervereinigung",Q121608349
ein002095,"Die Theegesellschaft",Q94393683
ein002119,"Das Bauerngut",Q110826897
ein002379,"Der Friseur",Q113649510
ein002177,"Die Liebe im Zuchthause",Q137360520
ein002682,"Die Tapetenwand",Q137719626
ein002663,"Noch Jemand's Ankunft auf St. Helena",Q133884183
ein002247,"Der Dorfbarbier",Q118263837
ein002249,"Der Selbstmord, oder der unglückliche Lottospieler",Q124461049
ein002254,"Das nächtliche Rendezvous",Q121608438
ein002255,"Der gereiste Bräutigam",Q121608553
ein002256,"Der Vergleich",Q121608655
ein002257,"Die Kriegslist",Q121608739
ein002691,"Der Krug geht so lange zu Wasser, bis er zerbricht; oder der Amtmann",Q134300175
ein002277,"Die Ueberschwemmung oder: Die edelmüthige Eifersucht",Q136368652
ein002282,"Großmuth für Großmuth",Q127017286
ein002288,"Alles aus Freundschaft",Q121608819
ein002289,"Das Consilium",Q121608886
ein002290,"Das Frühstück",Q121609289
ein002291,"Das Mißverständniß",Q121609383
ein002292,"Das Nachspiel",Q121609471
ein002293,"Der Brautschleyer",Q121609542
ein002294,"Der Traum",Q121609620
ein002295,"Deutsche Treue",Q121609728
ein002296,"Die Ehescheuen",Q121609840
ein002297,"Die Engländerin",Q121610007
ein002298,"Die Reise nach Amerika",Q121610831
ein002299,"Die Schweitzerhütte am Rheinfall",Q121615202
ein002300,"Die stille Braut",Q121615349
ein002301,"Ein Haus zu verkaufen",Q121615434
ein002302,"Ein Mann hilft dem andern!",Q121615579
ein002304,"Der vierundzwanzigste Februar",Q1199803
ein002306,"Frage und Antwort",Q121615733
ein002311,"Der erste Dank",Q137918591
ein002312,"Die falsche Vergiftung",Q137969770
ein002342,"Die unsichtbaren Liebhaber auf der Probe",Q121697662
